od,origin,destination,original_origin,original_destination,demand,pi_w,protected_demand,unprotected_demand,z_value,covered,u_w,path_length,shortest_length,detour_cap,model_uncovered_length,uncovered_cap_if_required
6->14,6,14,398,414,1.0,0.85,0.85,0.15000000000000002,1.0,True,0.01815162132534223,2356.8377406714244,2253.407520290963,2704.0890243491554,40.903,450.6815040581926
6->2,6,2,398,394,24.0,0.15,3.5999999999999996,20.4,1.0,True,0.0655732303763838,623.775887892374,623.775887892374,748.5310654708488,40.903,124.75517757847481
6->3,6,3,398,395,9.0,0.15,1.3499999999999999,7.6499999999999995,1.0,True,0.03732643090982573,1169.0785720919412,1095.8186733367208,1314.982408004065,40.903,219.1637346673442
6->4,6,4,398,396,16.0,0.15,2.4,13.6,1.0,True,0.17122233281916585,920.1669234205891,920.1669234205891,1104.200308104707,157.553127211108,184.03338468411783
6->5,6,5,398,397,29.0,0.15,4.35,24.65,1.0,True,0.15502043594406428,1151.9149676068303,1016.3377896057368,1219.605347526884,157.553127211108,203.2675579211474
6->7,6,7,398,399,37.0,0.85,31.45,5.550000000000001,1.0,True,0.0,1030.320943500469,1030.320943500469,1236.3851322005628,0.0,206.0641887000938
6->8,6,8,398,401,2.0,0.85,1.7,0.30000000000000004,0.0,False,1.0,2089.2151330678817,1746.0858340807417,2095.30300089689,0.0,349.2171668161484
6->9,6,9,398,407,4.0,0.15,0.6,3.4,1.0,True,0.08707616498860828,1960.8127721184474,1809.371453505329,2171.2457442063946,157.553127211108,361.87429070106583
7->1,7,1,399,393,8.0,0.15,1.2,6.8,1.0,True,0.0,1765.8489411274377,1759.4450854958204,2111.3341025949844,0.0,351.8890170991641
7->10,7,10,399,408,8.0,0.15,1.2,6.8,1.0,True,0.017614381298660463,1285.993430824892,1280.828410460021,1536.994092552025,22.561,256.1656820920042
7->11,7,11,399,409,5.0,0.15,0.75,4.25,1.0,True,0.0,1810.881495324954,1652.894447529385,1983.473337035262,0.0,330.578889505877
7->12,7,12,399,410,11.0,0.15,1.65,9.35,1.0,True,0.0,2183.633495324954,2020.902731046007,2425.083277255208,0.0,404.1805462092014
7->13,7,13,399,412,14.0,0.15,2.1,11.9,1.0,True,0.0,2081.8083383600756,2020.8977310460068,2425.077277255208,0.0,404.17954620920136
7->14,7,14,399,414,4.0,0.85,3.4,0.6000000000000001,1.0,True,0.0,2777.1244953249543,2614.3937310460074,3137.2724772552087,0.0,522.8787462092015
7->2,7,2,399,394,12.0,0.85,10.2,1.8000000000000003,1.0,True,0.024733684227543386,1653.7366460937708,1653.7366460937708,1984.4839753125248,40.903,330.7473292187542
7->3,7,3,399,395,12.0,0.15,1.7999999999999998,10.2,1.0,True,0.0,1488.2091697805927,1488.2091697805927,1785.8510037367112,0.0,297.64183395611855
7->4,7,4,399,396,12.0,0.15,1.7999999999999998,10.2,1.0,True,0.0,1275.0534953249537,1275.0534953249537,1530.0641943899443,0.0,255.01069906499075
7->5,7,5,399,397,42.0,0.15,6.3,35.699999999999996,1.0,True,0.0,828.6674511387129,828.6674511387129,994.4009413664554,0.0,165.73349022774258
7->6,7,6,399,398,35.0,0.85,29.75,5.250000000000001,1.0,True,0.0,1029.960758201397,1029.960758201397,1235.9529098416765,0.0,205.99215164027942
